YEAR,Jan,Feb,Mar,April,May,June,July,Aug,Sept,Oct,Nov,Dec,TOTAL ,,Jul-Dec,Jan-June,YEAR,Season,Annual
,,,,,,,,,,,,,in,,Total,Total,,Total,Total
1908,99.5,137.2,201.1,291.1,5.6,15,6.6,37.2,80.6,229.1,91.9,162.9,53.5,,608,,1908,,1358
1909,129.5,0,59.6,39.7,106.8,1.5,29.7,0,142,62.5,145.9,166.2,34.8,,546,337,1909,945,883
1910,62,94.5,200,117.4,89.6,1.3,22.4,29.3,72.4,237.9,52.2,128.2,43.6,,542,565,1910,1111,1107
1911,161.1,124.8,170.6,0,69.8,0,13.3,12.8,83,193.5,132.5,90.1,41.4,,525,526,1911,1069,1052
1912,58.7,42.6,60.6,37.5,47,1,14,0,13.6,46.3,85.8,217.2,24.6,,377,247,1912,773,624
1913,169.7,166.4,502.4,8.4,3.8,10.7,17.2,31.4,159.8,48.7,72.1,72.5,49.7,,402,861,1913,1238,1263
1914,66.7,204.2,98.3,23.9,10.4,18.5,0,71.4,32.9,69.8,15.4,174.4,30.9,,364,422,1914,824,786
1915,104.8,0,0,0,0,12,0,5.3,34.8,180.4,66.9,136,21.3,,423,117,1915,481,540
1916,,,,,,,,,,,,,0,,0,0,1916,423,0
1917,,,,,,,,,,,,,0,,0,0,1917,0,0
1918,0,181.7,73,77.7,36.6,11.7,22.1,333.9,0,47,51.8,103.2,37,,558,381,1918,381,939
1919,115.5,76.5,167.7,127.1,25.6,52.8,0,11.7,68.6,52.8,10.1,38.6,29.4,,182,565,1919,1123,747
1920,247.6,191.3,200.6,0,0,0,0,0,0,0,100.9,137.7,34.6,,239,640,1920,821,878
1921,0,118.9,72.2,100.6,16.8,0.5,8.4,2.3,76.5,109.8,96.8,21.9,24.6,,316,309,1921,548,625
1922,47,101.4,5.3,22.8,96.7,31.5,0,43.7,57.3,198.6,153.1,244.6,39.4,,697,305,1922,620,1002
1923,162.6,224.8,115.9,7.6,7.6,36.5,182.9,10.9,42.4,101.8,175.6,230.1,51.1,,744,555,1923,1252,1299
1924,172.8,57.5,14,55.7,9.1,12.2,0,38.2,69.3,62.7,0,153,25.4,,323,321,1924,1065,645
1925,214.3,119.8,333.9,20.1,23,19.3,35,0,132.9,99.6,55.2,105.4,45.6,,428,730,1925,1054,1159
1926,85.5,130.1,153.1,0,47.7,82.1,0,16,54,136.6,107,98.1,35.8,,412,499,1926,927,910
1927,51.5,107.7,355.3,18.7,2.3,0,3.8,52.1,52.1,0,22.3,125.5,31.2,,256,536,1927,947,791
1928,125.5,99.8,47.6,9.2,72.9,11.7,0,65.3,0,0,0,103.1,21.1,,168,367,1928,623,535
1929,126.8,75.5,182.5,72.3,18.8,339.5,99.8,38.8,139.5,162.3,161.3,67.5,58.5,,669,815,1929,984,1486
1930,178.7,31.2,34,52.9,56.7,77.7,21.1,53.8,0,64.5,94.1,147.9,32,,381,431,1930,1100,813
1931,134.9,94.7,213.4,68,10.4,0,447.6,35.3,47,96,47.5,57.1,49.3,,731,521,1931,903,1252
1932,79.1,153.4,200.1,36.4,100.4,16.5,21.1,20.5,278.1,140.1,235.1,198.5,58.2,,893,586,1932,1316,1479
1933,73.4,74.4,147.1,44.4,30.2,21.1,11.4,0,70.6,49.3,215.4,166.3,35.6,,513,391,1933,1284,904
1934,161.5,42.9,63.6,70.9,22.9,0,110.6,0,21.9,35.6,111.3,225.1,34.1,,505,362,1934,875,866
1935,95.4,97.7,112.6,40.7,185.2,162,43.2,82.4,21,28.2,79.8,21.9,38.2,,277,694,1935,1198,970
1936,103.8,304,106.8,0,202.4,16.5,32.3,2.8,104.2,97.8,399.6,48.8,55.9,,686,734,1936,1010,1419
1937,310.9,197.7,117.7,36.3,4.6,21.6,154.5,36.1,40.6,78.3,64.3,209,50.1,,583,689,1937,1374,1272
1938,156.7,149.7,32.8,236.7,42.4,61.5,66.8,35.8,3.6,84.4,108.9,169.4,45.2,,469,680,1938,1263,1149
1939,104.5,214.2,127,47.2,66.4,30,45,30.3,121,67.8,78.8,169.4,43.4,,512,589,1939,1058,1102
1940,24.1,58.5,58.4,69.2,176.5,10.4,5.1,12.4,77.2,58.5,151.2,56.4,29.8,,361,397,1940,909,758
1941,52.3,41.4,107.9,17.3,5.6,35.3,11.2,77.2,46.5,101.6,51.7,81.8,24.8,,370,260,1941,621,630
1942,279,47.1,140.8,53.3,81.5,0,0,94.6,42.2,111.6,286.5,211.9,53.1,,747,602,1942,972,1349
1943,105.6,35.3,275.1,158.4,48.5,17.8,48.7,124.7,40.9,155.2,108.4,202.8,52,,681,641,1943,1388,1321
1944,69.1,138,41.1,84.3,15.2,57.4,9.7,7.4,240.3,136.4,41.1,43.5,34.8,,478,405,1944,1086,884
1945,33.8,179.1,144,9.9,52.6,8.4,6.4,5.3,44.9,212.6,0.5,40,29,,310,428,1945,906,738
1946,93.4,112.7,102.4,122.9,15,0,10.7,2.5,44.9,104.6,212.6,60.4,34.7,,436,446,1946,756,882
1947,130.7,81.1,230.3,103.9,191.6,155.2,18.3,0,51.3,55.9,287.6,126.6,56.4,,540,893,1947,1329,1433
1948,135.6,184.2,217.2,83.3,0.8,5.6,0,67.3,41.4,224,62.6,29.5,41.4,,425,627,1948,1166,1052
1949,52.6,232.2,133.6,0,73.2,0.3,6.9,23.1,85.2,98.6,207.5,65.4,38.5,,487,492,1949,917,979
1950,230.2,106.5,92.7,143.4,112.5,20,54.5,123.9,47.5,69.1,85.5,168.2,49.4,,549,705,1950,1192,1254
1951,149.4,79.8,133.1,0,54.4,32.2,3.8,70,64.8,242.5,0,213.2,41.1,,594,449,1951,998,1043
1952,187.8,114.8,25.4,43.5,96.2,0.6,27.1,0,115.6,6.6,98.5,96.3,32,,344,468,1952,1063,812
1953,243.3,221.2,0,58.5,1.5,1.8,3.3,85.3,60,132.5,168.1,77.5,41.5,,527,526,1953,870,1053
1954,82.4,88.9,139.2,27.8,69.4,27,4.4,44,120.6,536.7,29.7,40.4,47.7,,776,435,1954,961,1211
1955,317.4,72.8,206.5,18.8,16,3.3,3,28,171,84.4,137.5,59,44,,483,635,1955,1411,1118
1956,15,203.3,258,224.4,18,47,0,83.5,74,170,263.5,243.7,63,,835,766,1956,1249,1600
1957,69.1,110.4,186.5,300,28,27,0,20.8,177.1,147.5,152.5,70.5,50.8,,568,721,1957,1556,1289
1958,179,209.8,106.1,158,2.5,0,89.5,18.5,46.8,103,129.8,96.5,44.9,,484,655,1958,1224,1140
1959,92.7,69.1,53.8,54.9,418,0,28.5,60,60.5,126,50.5,109,40.3,,435,689,1959,1173,1023
1960,88.8,95,137.5,80,110,10.5,17,20,51,73,121,132,36.8,,414,522,1960,956,936
1961,105.5,37,144,190.5,28,20,139.9,7,89,75.2,0,85.8,36.3,,397,525,1961,939,922
1962,122.1,78.1,310.5,30.9,21,1,0,72.5,35.7,181.1,81.3,68.6,39.5,,439,564,1962,961,1003
1963,249.5,36.1,480.1,13.1,39.9,29.5,161,21,56.3,218.4,110.9,245.5,65.4,,813,848,1963,1287,1661
1964,317.9,134.2,101.9,88.3,27.2,252.5,17.3,23.1,47.6,279.5,64,42.5,55,,474,922,1964,1735,1396
1965,107.9,74.9,9.6,48.6,81.2,188,49.4,81.1,82.8,159.1,117.7,96.8,43.2,,587,510,1965,984,1097
1966,124,70.6,12.7,77.6,100.8,83.8,5.5,37,59.6,47.4,0,126.2,29.3,,276,470,1966,1056,745
1967,200.8,102.5,184.8,237.1,27.3,41.5,62.8,13.3,18,90.7,143.7,113.3,48.7,,442,794,1967,1070,1236
1968,53.5,58.9,151,102.5,2.8,9,8.1,73.8,110.9,87.9,71.1,120.1,33.4,,472,378,1968,820,850
1969,49,131.7,186.8,91,196.8,13.4,28.5,19,88.4,139.5,244.5,109.2,51.1,,629,669,1969,1141,1298
1970,50.6,108.8,29.7,37,79,111.7,3.2,152,58.3,397.6,146.6,192.2,53.8,,950,417,1970,1046,1367
1971,112.4,72,55.7,86.4,160,0,122.9,157.8,29.4,242.4,94.1,104.5,48.7,,751,487,1971,1436,1238
1972,46.9,219.6,31.9,30.2,45.3,60,43.9,56,32.2,57.4,180.1,141,37.2,,511,434,1972,1185,945
1973,71.9,64.5,59.8,47.1,1.4,0.5,14.8,67.4,121.6,90.6,165.5,75,30.7,,535,245,1973,756,780
1974,109,151,79.8,60.6,152.5,37.8,4.5,10,56.3,32.1,123.3,235.9,41.4,,462,591,1974,1126,1053
1975,100.6,129.7,59.4,15.4,28.6,42.2,4,20.6,214.2,27.2,62,242.1,37.3,,570,376,1975,838,946
1976,150.4,264.9,549.3,119.2,119.4,18,47.5,43.1,42.5,203.7,103,87.1,68.8,,527,1221,1976,1791,1748
1977,146.5,491.9,69.7,20.4,3.7,33.7,8,82.1,68.1,117.7,200.6,146.1,54.7,,623,766,1977,1293,1389
1978,96.8,86.4,233,641.1,151.1,19.2,3.4,67.1,76.1,168.2,156.5,92.2,70.5,,564,1228,1978,1850,1791
1979,62.9,55,81.8,59.2,26.6,1.2,116.2,70.7,60.3,93.6,88,136.1,33.5,,565,287,1979,850,852
1980,79.9,49.8,111.8,32.8,44.1,10,26.5,71.8,177.4,69.7,194.7,103.9,38.3,,644,328,1980,893,972
1981,229.6,50.4,28.5,23.4,70,7.3,8.1,182.9,72.8,37,112.8,80.8,35.6,,494,409,1981,1053,904
1982,191,58.9,192.9,133.5,37.7,10,13.8,6,77.4,174.6,28.7,52.5,38.5,,353,624,1982,1118,977
1983,177.2,146.9,66,32.4,41.7,6.9,153.4,57.3,90.7,126.1,93.9,108,43.3,,629,471,1983,824,1101
1984,365.7,144,136.4,139.8,54.9,36.9,86.2,63.9,52.6,53.5,98.2,93.5,52.2,,448,878,1984,1507,1326
1985,132.8,282.7,80.2,30,4.6,59.8,4,1.8,39.4,299.9,198.2,107.4,48.9,,651,590,1985,1038,1241
1986,111,42.9,115.9,141.1,2.5,14.3,29,247.7,58.2,157.8,151.3,120.8,46.9,,765,428,1986,1078,1193
1987,143.9,43.1,281.9,13.5,86.6,62.1,21.3,62.3,508,87.3,250.3,77.5,64.5,,1007,631,1987,1396,1638
1988,64.9,366,308.3,34.5,100.9,74.6,45.9,106,29.4,72.1,118.6,220.6,60.7,,593,949,1988,1956,1542
1989,37.5,306.7,42.2,183.7,17.3,41.6,14.4,0,186.1,296.3,336.5,66.6,60.2,,900,629,1989,1222,1529
1990,40.2,57.3,412.3,49,13.1,15,0,116.7,49.3,141.6,29.5,92.6,40,,430,587,1990,1487,1017
1991,108.4,114.3,140.5,0.8,57.9,13,0.5,32.2,152.5,157,144.6,85.7,39.7,,573,435,1991,865,1007
1992,63,27,50,34,3,0,0,30,46,77,144,96,22.4,,393,177,1992,750,570
1993,76,66,66,52,2,11,7,31,129,193,72,267,38.3,,699,273,1993,666,972
1994,65,242,48,5,5,15,84,135,19,178,64,175,40.7,,655,380,1994,1079,1035
1995,104,69,241,244,58,63,7,9,36,121,47,305,51.3,,525,779,1995,1434,1304
1996,246,149,187,94,48,11,228,35,24,209,227,67,60,,790,735,1996,1260,1525
1997,305,120,78,205,38,152,80,19,155,129,323,86,66.5,,792,898,1997,1688,1690
1998,79,171,326,83,55,12,13,55,61,81,194,227,53.4,,631,726,1998,1518,1357
1999,72,193,164,33,27,20,7,25,50,162,77,147,38.5,,468,509,1999,1140,977
2000,244,176,286,97,115,11,16,11,88,121,162,119,56.9,,517,929,2000,1397,1446
2001,69,80,75,119,36,0,22,41,83,168,308,241,48.9,,863,379,2001,896,1242
2002,148,117,38,101,34,30,156,91,99,18,91,153,42.4,,608,468,2002,1331,1076
2003,75,15,254,40,64,60,20,28,153,49,62,142,37.9,,454,508,2003,1116,962
2004,185,38,151,19,17,3,137,12,141,73,82,67,36.4,,512,413,2004,867,925
2005,326,116,115,57,84,34,11,18,55,67,243,89,47.8,,483,732,2005,1244,1215
2006,151,132,107,122,37,22,0,77,195,182,123,208,53.4,,785,571,2006,1054,1356
2007,73,79,163,99,5,20,4,51,96,148,161,76,38.4,,536,439,2007,1224,975
2008,135,155,90,109,41,236,0,11,101,116,201,148,52.9,,577,766,2008,1302,1343
2009,233,123,177,97,99,14,35,44,113,207,237,250,64.1,,886,743,2009,1320,1629
2010,132,77,60,95,16,26,15,0,38,130,182,175,37.2,,540,406,2010,1292,946
2011,229,20,53,90,180,154,192,45,17,125,310,196,63.4,,885,726,2011,1266,1611
2012,101,64,415,119,24,37,32,172,400,313,213,230,83.5,,1360,760,2012,1645,2120
2013,147,62,278,138,85,14,39,12,70,224,120,384,61.9,,849,724,2013,2084,1573
2014,165,97,188,40,17,9,6,42,83,179,100,130,41.6,,540,516,2014,,1056
